ID,tweet,Tag,newlabel
1375050763081109514,death austrian nurse astrazeneca vaccine link confirmed according greifswald experts vaccine would trigger defense mechanism coagulation normally wound heals causing blood clot brain,side-effect,['side-effect']
1244766685359271937,know aint getting vaccine bs,none,['none']
1289630055874920448,highwiretalk michellemalkin retweet vaccine illness death stay feet away demonic company astrazeneca,side-effect,['side-effect']
1354127624453369856,borisjohnsonmp trust never vaccine vaccine,none,['none']
1329555068845256706,new pfizer results coronavirus vaccine safe effective slashdot httpstcoiiocfxqzhs safe effective pharma everyone accepts vax risking life vaccineswork httpstcobpklbpm,side-effect,['side-effect']
1433186539970965504,new zealand reported first recorded death linked pfizerbiontech covid vaccine health ministry said monday woman suffered rare heart muscle inflammation side effect vaccinechoiceca novaccinepassportanywhere httpstcotimmvqq,side-effect,['side-effect']
1377368918465998849,took mins hospital decide whole vaccine taking process like nah system aint putting nothing,pharma,['pharma']
1328399842385616896,race worlds greatest cash cow competition wonder many corners shaved side effects collateral damage live later believe real imperial scientific data press releases moderna covid coronavirus,"pharma,side-effect","['pharma', 'side-effect']"
1332909005589516293,bradmossesq dont think people get covid vaccine would unfair already died covid,none,['none']
1344269461763858433,vaccine either making sick giving us covid plain simply killing us fda recalls hand sanitizers potentially dangerous chemicals httpstcowhsixcayyt foxbusiness,side-effect,['side-effect']
1338566157062660098,u dont need wear u dont need vaccine mondaythoughts mondaymorning covidvaccine httpstcodyyfnkj,none,['none']
1338769046750326785,speakerpelosi careful pfizer vaccine effective covid dont want become mouse pfizer httpstcohgakaqpzz,ineffective,['ineffective']
1370296726058270721,clots patients received vaccine including least one case denmark patient died countries followed denmark suspending approval astrazenecaoxford covid vaccine switzerland austria iceland norway denmark estonia lithuania,side-effect,['side-effect']
1232298490274951169,pfizer since asking questions heres one exactly much paid government officials push mandates stay tf away kids youll never get parentsoverpharma believemothers stopbiggovt,mandatory,['mandatory']
1317225707068674048,colindyckes matthancock see self declared business man whats conflict interest u shares oxford vaccine shameful encourage vaccine unknown longterm implications encourage support informedchoice informedconsent history repeating httpstcoixbzfpeni,"mandatory,rushed","['mandatory', 'rushed']"
1410710859131752448,latest uk astrazeneca vaccine casualties deaths vitt vipit tts dead excludes spontaneous abortions side effects annastaciamp danielandrewsmp martinfoleymp victoriancho markmcgowanmp joeabcnews latingle tell scomo httpstcophsytpjjee,side-effect,['side-effect']
1376364991381610500,denmark paused use astrazeneca vaccine precautionary measure march reports yearold woman died blood clots several parts body week received vaccine httpstcoxdgmvkrbi,side-effect,['side-effect']
1325792643427786752,pfizer says new covid vaccine effective well would say untriedimproperly tested rushed hugely profitable indemnity need dumb especially people dont need natural immunity defence system vaccine,"pharma,rushed,unnecessary","['pharma', 'rushed', 'unnecessary']"
1248387260703076354,watch exclusive dr shiva exposes fauci birx gates covid endgame youtube httpstcoefehvrbhzr chipedvaccines want,"conspiracy,ingredients","['conspiracy', 'ingredients']"
1375720451952013313,mrsfernandes demiccase essexpr takes yrs develop produce flu vaccine certain strain onesizefits guesses strain prevalent yrs advance may get wrong wont protect current strain anyway dont like medical guesswork,rushed,['rushed']
1371490319020199938,whilst european countries halting covid vaccine alleged blood clot encouraging people take vaccine africa africangiant astrazeneca covid coronavirus covax ghana covidvaccine,side-effect,['side-effect']
1260258769524662276,lady gives animals vaccines didnt even know aluminum formaldehyde harmful ingredients vaccines kinda sounded confused exactly dont teach facts vaccines school theyre poison cause illnesses vaccinesarepoison,"ingredients,side-effect","['ingredients', 'side-effect']"
1373336298400940041,denmark reported two people experienced brain hemorrhages receiving astrazeneca covid vaccine one died danish authorities investigating whether direct side effects vaccine httpstcoxvsrwphbx,side-effect,['side-effect']
1265171379327918080,newsmelbourne novavax one worlds leading eugenicists implicated deaths cases infertility paralysis following vaccination programs africa unicef india bmg foundation handed novavax mil cepi cause covid vaccine drive,side-effect,['side-effect']
1331396422197940225,spectatorindex without largescale clinical trials certainly wont using id prefer covshield covaxin sputnik way acceptable,rushed,['rushed']
1353753839136980994,randpaul year old relative recovered covid horrible reaction moderna vaccine,side-effect,['side-effect']
1344402390162804740,venicelaura jeanpjtwood petertimmins mhra even warnings reactions pfizer vaccine pfizer never tested im going stick mhra one lol,"rushed,side-effect","['rushed', 'side-effect']"
1287535686514544640,neilclark leading company moderna never produced approved drug ever bodies cells changed forever think weak immune system produce antibodies hyper inflammatory response serious questions vaccine,side-effect,['side-effect']
1376588715628261376,michiganders get johnson johnson covid vaccine paid certain federal funds new state law mandates must informed developed using stem cell line aborted fetus httpstcoztwzpsqi via freep,ingredients,['ingredients']
1316064478837043201,takes long time make safe vaccine johnson johnson pauses covid vaccine study unexplained illness second time weeks big potential vaccine trial shut bc caused unexplained illness httpstcoeyfgmkdqpy,side-effect,['side-effect']
1332858597265399808,wbrettwilson pfizer pretty comfortable every one getting vaccine business health,pharma,['pharma']
1326550067373776896,scuppered congress vienna get chance psychos make occurred russian revolution look like warm one submit vaccine,none,['none']
1374833006037377024,benrileysmith clearly following science data even last year without vaccinated study data suggest pubs restaurants gyms areas viral spread control coercive way get take vaccine dont need,unnecessary,['unnecessary']
1354305622225932288,business know even rich developed countries still dont provide insurance vaccines theres cases deaths russia sputnik vaccine investigated including catching virus death vaccine kaluga city head state hospital death,"ineffective,side-effect","['ineffective', 'side-effect']"
1255471570488868874,idontthinksokid aparapanos firesyde charlotteg wordwhisperer using mandatory vaccination excuse give digital id using virus scare individuals something know would normal circumstances always wanted china china claims completed,"conspiracy,mandatory","['conspiracy', 'mandatory']"
1320037380389244930,dok trade secrets pouring huge amounts money developing theres really shitty incentives system second vaccine market wont make much money pushing ethical rules enables govs desperate vaccine,"pharma,political","['pharma', 'political']"
1365091038533193739,httpstcowybmjieji vaccine untested whatever please tell us surly god must know recommending yet family know please randyhillier drpmd dockaurg dolorescahill,rushed,['rushed']
1443326944725114889,shocking must see alert dr carrie madej first us lab examines vaccine vials horrific findings revealed self aware organism tentacles found moderna vaccine onpoli canpoli vaxtothemax vaxtoschool teamtoronto teamcanada httpstcorwuydy,ingredients,['ingredients']
1122216014698074112,realdonaldtrump please please speak robert kennedy vaccinations dont take constitutional rights away choose whether vaccinated governments states job force us taking poison bodies,"mandatory,side-effect","['mandatory', 'side-effect']"
1371552949793607683,people absolute begs covid vaccine sicken especially spain suspended vaccination astrazeneca vaccine aint letting go nowhere except emergency room lmao,ineffective,['ineffective']
1328011403681292290,yes fauci im sure fda pfizer rewarded trump waiting release covid vaccine developed part concerted effort bring president trumps second presidency never take fking vaccine vaccine arse billgates finger,"pharma,political","['pharma', 'political']"
1254220764754018304,cmichaelgibson would like know sars mers vaccine lot problems animal trials issue reexpose caused strong immune reaction killed hosts wary rna vaccines never able successful one past,"rushed,side-effect","['rushed', 'side-effect']"
1364600649212710919,wwakeuptime benchappers nogreatreset realdenisewelch chumps think things change vaccine,ineffective,['ineffective']
1328352438009663489,moderna covid vaccine like good version second plane hitting world trade centre means first one accident,conspiracy,['conspiracy']
1357172008132386817,tobyturner sorry lost everyone think possible covid vaccine time itll counted covid death know certain,ineffective,['ineffective']
1364622986855256069,worstedjumper nostalgicdread lindseyy youve covid vaccine doses protected virus survival rate risk children risk healthy yo insist healthy unvaccinated people face restrictions abhorrent novaxports,"mandatory,unnecessary","['mandatory', 'unnecessary']"
1339788992343121928,knew adamant outspoken antivax community wasnt aware sadomasochistic provax group creepily orgasmic injected whatever bigpharma wants inject,pharma,['pharma']
1300477211800109057,omgnotrump trusting drhann fda integrity hallmark fda vaccine dont trust safety effectiveness due moral lapses current administration,"ineffective,political,side-effect","['ineffective', 'political', 'side-effect']"
1319653883380174849,landoflindy scottmillar jasonleitch system entirety doesnt even deal idea ever end point denies existence eventuality absense vaccine people making record stated highly unlikely actually change anything,ineffective,['ineffective']
1365600143957975041,thousand reactions deaths due vaccine httpstcosdpoppdqd,side-effect,['side-effect']
1339562804836241410,discussion red flags pfizer vaccine paper new england journal medicine naked capitalism httpstcomvhtwxc,pharma,['pharma']
1319471084337508353,invictusclt honestly im antivaxxer id love take actual vaccine im skeptical rushed vaccine made like months,rushed,['rushed']
1327171624366436353,htxpuckprincess aubreyhuff wouldnt want pfizer one media would report real news pfizer ceo dumped stock wednesday wonder,pharma,['pharma']
1321884514277380101,richieallenshow talkradio seem fully onboard vaccines tho could get juliahb talking madness dna rna altering vaccines even reported injuries volunteers astrazeneca trial,side-effect,['side-effect']
1345279796721246210,wtf butcher uk borisjohnson keeps fuckup management covid vaccination vaccines mixed matched follow nd shot weeks weeks science dead,political,['political']
1255076278430044160,cp make vaccine mandatory people theres ulterior motive,mandatory,['mandatory']
1364666557050335237,nickthegeek heidiec nobody masking testing children covid unless ill risk concentrate getting vulnerable high risk vaccinated doses people recover build natural immunity cases data propaganda nomasksinclass,unnecessary,['unnecessary']
1345482007393021954,mexican doctor hospitalised receiving pfizer covid vaccine httpstcolxjikvam httpstcoaivkcidc,side-effect,['side-effect']
1329366430551142406,zeroxpectation ashishkjha pfizer interesting see many ideological subversed fools line evil vaccine plan,conspiracy,['conspiracy']
1262933557527232513,inquirerdotnet duturte either working trump bring deep state hes really bright really pushing vaccine means hes siding china hell huge trouble truth covid hoax comes,"conspiracy,mandatory,political","['conspiracy', 'mandatory', 'political']"
1358461418576752641,look listen dr vernon coleman decide get vaccine covid,none,['none']
1336383469438513154,quite honest yes rest life around years average live potentially life altering debilitating vaccine injury average covid death age average life expectancy incredibly selfish expect,side-effect,['side-effect']
1393415367163211776,search results vaers database moderna vaccinedeath day vaccination patient found unconscious without pulse patient remained asystole without pulse respirations despite cpr httpstcoitcszqel,side-effect,['side-effect']
1300839607035138055,annikawu nihdirector niaidnews astrazeneca agree years ago required take flu shot bc job got sick thought death would feel better doctor told employer wld dangerous another flu shot havent one since stay pretty darn healthy,"side-effect,unnecessary","['side-effect', 'unnecessary']"
1283529923026706434,coronavirus lockdown deaths covid deaths moderna covid vaccine induced adverse reactions half trial participants lockdowns return across india covid cases near million httpstcojpslsjpep,side-effect,['side-effect']
1377392417192599553,gokuhyugairoh know someone whos step dad died getting vaccine nobody seems care itll long term effects gonna get injected something dont know whats also experimental made months compared usual years,"rushed,side-effect","['rushed', 'side-effect']"
1365492388844761100,thank darling ok team humanity heres video explanation terrifying new vaccine technology turns human body operating system reporting fact fact sourced nih google mit nonetheless got kicked twitter hours,side-effect,['side-effect']
1374874162616020995,wed love see information vaccine contain aluminum contain nickel theres report available push vaccine want people afraid theyre gonna take hasnt report already,ingredients,['ingredients']
1342694888366878721,ill drink fox river water take covid vaccine,none,['none']
1321373250430054400,llggeorgia tabletmag imperial college london casts doubt herd immunity flawed study peer reviewed already discredited together sky news uk promote antiherd immunity strategies vaccine goal government even though say wont work,political,['political']
1377980203515965442,kylekashuv davidwebbshow hell need vaccine already covid suddenly change rules science covid virus viruses mutate vaccine guarantee catch covid quit pushing vaccine answer,"ineffective,unnecessary","['ineffective', 'unnecessary']"
1432311487499055118,new zealand reported countrys first recorded death linked pfizer covid vaccine woman died following rare side effects information released health ministry review independent covid vaccine safety monitoring board,side-effect,['side-effect']
1334057928236654593,dhscgovuk mhragovuk pfizer biontechgroup long term effects please even tested,side-effect,['side-effect']
1424184844800589831,fredpye test vaccines vaccines instead placebos astrazeneca outside us hide adverse events childhood vaccines could connect dots whole vaccine scandal would powerful,none,['none']
1329063888931975169,drericding cases candidate pfizers trial worldwide thats trial enough clear result trial skipped phase give billion people covid trials complete shambles start,rushed,['rushed']
1319729885431144454,reasonable person taking trumpapproved vaccine,political,['political']
